ユーザーID,性別,年齢,利用日数,視聴回数,お気に入りのカテゴリ,利用デバイス,満足度,自由回答
1,男,70,119,14,ドキュメンタリー,タブレット,満足,操作性がとても良く、ストリームも安定しています。
2,女,60,111,409,ドラマ,タブレット,満足,操作性がとても良く、ストリームも安定しています。
3,女,27,259,329,ミュージック,TV,不満,最近の新作が少なく感じます。
4,女,46,313,450,ミュージック,TV,やや不満,コンテンツのバリエーションが豊富で良いです。
5,男,33,237,19,ホラー,スマホ,やや満足,料金プランをもう少し分かりやすくしてほしい。
6,男,53,361,443,ドラマ,タブレット,満足,操作性がとても良く、ストリームも安定しています。
7,男,38,219,490,ミュージック,タブレット,やや満足,操作性がとても良く、ストリームも安定しています。
8,男,42,289,53,コメディ,PC,やや不満,最近の新作が少なく感じます。
9,女,73,259,426,コメディ,PC,不満,操作性がとても良く、ストリームも安定しています。
10,男,55,116,149,アクション,タブレット,満足,家族で利用していますが、プロフィール機能が便利です。
11,女,46,23,175,SF,PC,やや満足,家族で利用していますが、プロフィール機能が便利です。
12,男,21,357,298,SF,PC,不満,家族で利用していますが、プロフィール機能が便利です。
13,女,20,335,399,ミュージック,スマホ,やや満足,料金プランをもう少し分かりやすくしてほしい。
14,女,40,148,500,コメディ,PC,やや満足,操作性がとても良く、ストリームも安定しています。
15,男,57,252,112,コメディ,タブレット,やや満足,最近の新作が少なく感じます。
16,女,17,201,148,ドキュメンタリー,スマホ,やや満足,コンテンツのバリエーションが豊富で良いです。
17,女,52,26,244,コメディ,PC,満足,家族で利用していますが、プロフィール機能が便利です。
18,女,72,264,371,SF,スマホ,やや不満,家族で利用していますが、プロフィール機能が便利です。
19,男,30,298,227,SF,TV,やや満足,家族で利用していますが、プロフィール機能が便利です。
20,男,74,313,391,ホラー,タブレット,不満,操作性がとても良く、ストリームも安定しています。
21,女,34,51,302,コメディ,PC,やや満足,料金プランをもう少し分かりやすくしてほしい。
22,女,65,315,289,ミュージック,TV,満足,コンテンツのバリエーションが豊富で良いです。
23,女,59,228,372,ミュージック,スマホ,やや不満,料金プランをもう少し分かりやすくしてほしい。
24,男,19,102,141,ドキュメンタリー,スマホ,不満,料金プランをもう少し分かりやすくしてほしい。
25,男,21,278,262,アクション,TV,やや不満,コンテンツのバリエーションが豊富で良いです。
26,女,43,88,424,ホラー,TV,満足,コンテンツのバリエーションが豊富で良いです。
27,女,45,76,145,アニメ,スマホ,やや不満,最近の新作が少なく感じます。
28,男,71,230,118,コメディ,スマホ,満足,操作性がとても良く、ストリームも安定しています。
29,女,68,265,105,ドキュメンタリー,PC,満足,料金プランをもう少し分かりやすくしてほしい。
30,男,47,297,92,ミュージック,タブレット,満足,コンテンツのバリエーションが豊富で良いです。
31,男,41,310,140,アニメ,タブレット,やや不満,コンテンツのバリエーションが豊富で良いです。
32,男,42,149,109,ドラマ,TV,満足,料金プランをもう少し分かりやすくしてほしい。
33,男,46,362,94,ドキュメンタリー,TV,満足,料金プランをもう少し分かりやすくしてほしい。
34,女,56,20,169,アクション,スマホ,満足,家族で利用していますが、プロフィール機能が便利です。
35,女,27,67,368,SF,PC,やや満足,コンテンツのバリエーションが豊富で良いです。
36,女,37,292,424,ホラー,PC,やや不満,家族で利用していますが、プロフィール機能が便利です。
37,男,27,332,243,SF,スマホ,やや満足,最近の新作が少なく感じます。
38,男,35,256,81,コメディ,TV,やや不満,料金プランをもう少し分かりやすくしてほしい。
39,女,42,231,449,ミュージック,TV,不満,最近の新作が少なく感じます。
40,男,57,245,333,ドラマ,TV,やや不満,操作性がとても良く、ストリームも安定しています。
41,女,73,44,331,ドキュメンタリー,タブレット,不満,最近の新作が少なく感じます。
42,男,60,43,335,SF,TV,やや不満,家族で利用していますが、プロフィール機能が便利です。
43,男,28,166,355,アクション,タブレット,満足,家族で利用していますが、プロフィール機能が便利です。
